いっかげん	一家言 (noun) — 独到见解
いっきとうせん	一騎当千 (noun) — 一骑当千
いつだつこうい	逸脱行為 (noun) — 越轨行为
いんようく	引用句 (noun) — 引句
うせつきんし	右折禁止 (noun) — 禁止右转
ゆうけんしゃ	有権者 (noun) — 选民
ゆうじゅうふだん	優柔不断 (na-adj) — 优柔寡断
よち	余地 (noun) — 余地
よそくふのう	予測不能 (na-adj) — 不可预测
よくあつてき	抑圧的 (na-adj) — 压抑的
らくたんぎみ	落胆気味 (na-adj) — 略显沮丧
らんけい	濫刑 (noun) — 滥刑
りこうふのう	履行不能 (noun) — 不能履行
りえききょうよ	利益供与 (noun) — 利益输送
りょうひ	良否 (noun) — 好坏
りんしょうしけん	臨床試験 (noun) — 临床试验
るいすいすいろん	類推推論 (noun) — 类推推理
れいさいてん	零細店 (noun) — 小店
ろうしょうかんてい	労相官邸 (noun) — 劳动相官邸
ろうれいねんきん	老齢年金 (noun) — 高龄年金
ろうひど	浪費度 (noun) — 浪费度
ろんしょう	論証 (verb-noun) — 论证
わぎ	和議 (noun) — 和议
うでくらべ	腕比べ (noun) — 比本事
あんごうがく	暗号学 (noun) — 密码学
さんぽうてき	算法的 (na-adj) — 算法的
いはん	違反 (verb-noun) — 违反
いっかだんらん	一家団欒 (noun) — 天伦之乐
いっけいをあんずる	一計を案ずる (expr) — 想一计
いっきょしゅいっとうそく	一挙手一投足 (noun) — 一举一动
いつだつりつ	逸脱率 (noun) — 越轨率
いんようもと	引用元 (noun) — 出处
うはせいりょく	右派勢力 (noun) — 右翼势力
ゆうきのうぎょう	有機農業 (noun) — 有机农业
ゆうえつてきちい	優越的地位 (noun) — 优势地位
よぶん	余分 (na-adj) — 多余
よけんかのう	予見可能 (na-adj) — 可预见
よくしせいさく	抑止政策 (noun) — 威慑政策
らっかさん	落下傘 (noun) — 降落伞
らんぱつ	濫発 (verb-noun) — 滥发
りしゅうようけん	履修要件 (noun) — 修读要求
りえきそうはんかんけい	利益相反関係 (noun) — 利益冲突关系
りょうしつか	良質化 (verb-noun) — 高质量化
りんじょうかん	臨場感 (noun) — 临场感
るいすいのうりょく	類推能力 (noun) — 类推能力
れいらくきぞく	零落貴族 (noun) — 没落贵族
ろうえきけい	労役刑 (noun) — 劳役刑
ろうしふんそう	労使紛争 (noun) — 劳资纠纷
ろうれいか	老齢化 (noun) — 老龄化
ろうきょくし	浪曲師 (noun) — 浪曲师
ろんりせい	論理性 (noun) — 逻辑性
わかいあん	和解案 (noun) — 和解方案
わんそう	腕相 (noun) — 腕相
あんしょう	暗礁 (noun) — 暗礁
さんぽうろん	算法論 (noun) — 算法论
いやくきん	違約金 (noun) — 违约金
いっきょこうかい	一挙公開 (noun) — 一次性公开
いちげんかんり	一元管理 (noun) — 一元管理
いつわしゅう	逸話集 (noun) — 轶事集
いんようじょうほう	引用情報 (noun) — 引用信息
みぎななめ	右斜め (na-adj) — 右斜
ゆうけいこていしさん	有形固定資産 (noun) — 有形固定资产
ゆうぐうそち	優遇措置 (noun) — 优惠措施
よゆうしきん	余裕資金 (noun) — 富余资金
よびえき	予備役 (noun) — 预备役
よくあつかん	抑圧感 (noun) — 压抑感
らくさかくだい	落差拡大 (noun) — 差距扩大
らんぞうひん	濫造品 (noun) — 滥制品
りしゅうりれき	履修履歴 (noun) — 修读履历
りえきりつ	利益率 (noun) — 利润率
りょうしき	良識 (noun) — 良识
りんかいじこ	臨界事故 (noun) — 临界事故
るいすいとうけい	類推統計 (noun) — 推断统计
れいじ	零時 (noun) — 零时
ろうちん	労賃 (noun) — 工钱; 劳务费
しにせりょかん	老舗旅館 (noun) — 老字号旅馆
ろうわぼうし	漏話防止 (noun) — 防窃听
なにわ	浪速 (noun) — 浪速（大阪古称）
ろんしめいかい	論旨明快 (na-adj) — 论旨明快
わぶんちゅうしゃく	和文注釈 (noun) — 日文注释
わんぱくぼうず	腕白坊主 (noun) — 淘气包
あんき	暗記 (verb-noun) — 死记
さんしゅつ	算出 (verb-noun) — 算出
いわ	違和 (na-adj) — 不协调
いちあん	一案 (noun) — 一案
いっかつばらい	一括払い (noun) — 一次性付款
いちはや	逸早 (na-adj) — 尽早（口误）
いんようさき	引用先 (noun) — 引用来源
うきさんしょう	右記参照 (noun) — 参见右侧
ゆうえきせい	有益性 (noun) — 有益性
ゆうれつ	優劣 (noun) — 优劣
よいん	余韻 (noun) — 余韵
よびちしき	予備知識 (noun) — 预备知识
よくうつ	抑鬱 (na-adj) — 抑郁
らくさぜせい	落差是正 (noun) — 差距矫正
らんばつきんし	濫伐禁止 (noun) — 禁止滥伐
りしゅうようらん	履修要覧 (noun) — 修读指南
りえきはいぶん	利益配分 (noun) — 利益分配
りょうえん	良縁 (noun) — 良缘
りんきおうへん	臨機応変 (na-adj) — 随机应变
るいすいけんてい	類推検定 (noun) — 推断检验
れいらくぶり	零落ぶり (noun) — 衰落情状
ろうそかんぶ	労組幹部 (noun) — 工会干部
ろうせい	労政 (noun) — 劳动政策
ろうきょう	老境 (noun) — 暮年
ろまんてき	浪漫的 (na-adj) — 浪漫的
ろんそうてん	論争点 (noun) — 争议焦点
わやくちゅう	和訳注 (noun) — 译注
うでわ	腕輪 (noun) — 手镯
あんじてき	暗示的 (na-adj) — 暗示的
そろばんかんじょう	算盤勘定 (noun) — 算盘打得精
いけんしんさ	違憲審査 (noun) — 违宪审查
いちがいに	一概に (adv) — 一概地
いっこ	一顧 (noun) — 一顾
いつわてき	逸話的 (na-adj) — 轶事的
いんようけん	引用権 (noun) — 引用权
うはてき	右派的 (na-adj) — 右翼的
ゆうきしつ	有機質 (noun) — 有机质
すぐれもの	優れ物 (noun) — 好东西
よそごと	余所事 (noun) — 旁人之事
よびひわく	予備費枠 (noun) — 预备费额度
よくようほう	抑揚法 (noun) — 抑扬法
らくさしゅくしょう	落差縮小 (noun) — 差距缩小
らんぞうぎみ	濫造気味 (na-adj) — 略显滥造
りしゅうかもく	履修科目 (noun) — 修读科目
