さいぶん	細分 (verb-noun) — 细分
さくげん	削減 (verb-noun) — 削减
さくてい	策定 (verb-noun) — 制定; 策划
ししん	指針 (noun) — 指针; 指南
しさん	試算 (verb-noun) — 试算
じふ	自負 (verb-noun) — 自负; 自信
ぜせい	是正 (verb-noun) — 纠正; 校正
ぞうしょく	増殖 (verb-noun) — 增殖
そんしょく	遜色 (noun) — 逊色
たき	多岐 (na-adj) — 多岐; 多方面
たんしょ	端緒 (noun) — 端倪; 线索
ちけん	知見 (noun) — 见解; 认识
ちゅうしゅつ	抽出 (verb-noun) — 抽取
ちんじゅつ	陳述 (verb-noun) — 陈述
ついにん	追認 (verb-noun) — 追认
ついほ	追補 (verb-noun) — 增补; 追补
