id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
636,累犯,るいはん,noun,累犯,音,漢語（多く音読み）と推定
637,霊園,れいえん,noun,陵园,音,漢語（多く音読み）と推定
638,霊感,れいかん,noun,灵感,音,漢語（多く音読み）と推定
639,冷暖房,れいだんぼう,noun,冷暖空调,音,漢語（多く音読み）と推定
640,冷涼,れいりょう,na-adj,凉爽,音,漢語（多く音読み）と推定
641,労役,ろうえき,noun,劳役,音,漢語（多く音読み）と推定
642,漏電,ろうでん,verb-noun,漏电,音,漢語（多く音読み）と推定
643,浪費家,ろうひか,noun,败家子,音,漢語（多く音読み）と推定
644,炉辺談話,ろへんだんわ,noun,炉边谈话,音,漢語（多く音読み）と推定
645,論語,ろんご,noun,论语,音,漢語（多く音読み）と推定
646,湾曲,わんきょく,verb-noun,弯曲,音,漢語（多く音読み）と推定
647,腕相撲,うでずもう,noun,掰腕子,音,漢語（多く音読み）と推定
648,暗誦,あんしょう,verb-noun,背诵,音,漢語（多く音読み）と推定
649,意固地,いこじ,na-adj,固执,音,漢語（多く音読み）と推定
650,一攫千金,いっかくせんきん,noun,一夜暴富,音,漢語（多く音読み）と推定
651,一喜一憂,いっきいちゆう,verb-noun,喜忧参半,音,漢語（多く音読み）と推定
652,一致団結,いっちだんけつ,verb-noun,团结一致,音,漢語（多く音読み）と推定
653,逸早く,いちはやく,adv,尽快; 尽早,訓/混合,okuriganaあり → 和語/混合の可能性高
654,隠喩,いんゆ, noun,隐喻,音,漢語（多く音読み）と推定
655,右派,うは,noun,右翼,音,漢語（多く音読み）と推定
656,有事,ゆうじ,noun,突发事态,音,漢語（多く音読み）と推定
657,有識,ゆうしき,noun,学识,音,漢語（多く音読み）と推定
658,優先度,ゆうせんど,noun,优先级,音,漢語（多く音読み）と推定
659,余命,よめい,noun,余命,音,漢語（多く音読み）と推定
660,抑制的,よくせいてき,na-adj,抑制的,音,漢語（多く音読み）と推定
661,落書き,らくがき,noun,涂鸦,訓/混合,okuriganaあり → 和語/混合の可能性高
662,濫造,らんぞう,verb-noun,滥造,音,漢語（多く音読み）と推定
663,履行,りこう,verb-noun,履行,音,漢語（多く音読み）と推定
664,利回り,りまわり,noun,收益率,訓/混合,okuriganaあり → 和語/混合の可能性高
665,良質,りょうしつ,na-adj,优质,音,漢語（多く音読み）と推定
666,臨終,りんじゅう,noun,临终,音,漢語（多く音読み）と推定
667,類推的,るいすいてき,na-adj,类推的,音,漢語（多く音読み）と推定
668,霊長類,れいちょうるい,noun,灵长类,音,漢語（多く音読み）と推定
669,零細企業,れいさいきぎょう,noun,微型企业,音,漢語（多く音読み）と推定
670,労災保険,ろうさいほけん,noun,工伤保险,音,漢語（多く音読み）と推定
671,老舗,しにせ,noun,老字号,音,漢語（多く音読み）と推定
672,漏水,ろうすい,verb-noun,漏水,音,漢語（多く音読み）と推定
673,浪曲,ろうきょく,noun,浪曲,音,漢語（多く音読み）と推定
674,論法,ろんぽう,noun,论法,音,漢語（多く音読み）と推定
675,和訳,わやく,verb-noun,日译,音,漢語（多く音読み）と推定
676,腕章,わんしょう,noun,袖章,音,漢語（多く音読み）と推定
677,案外,あんがい,na-adj,出乎意料,音,漢語（多く音読み）と推定
678,暗号化,あんごうか,verb-noun,加密,音,漢語（多く音読み）と推定
679,意外性,いがいせい,noun,意外性,音,漢語（多く音読み）と推定
680,一帯,いったい,noun,一带,音,漢語（多く音読み）と推定
681,一括,いっかつ,verb-noun,一并; 打包,音,漢語（多く音読み）と推定
682,逸失利益,いっしつりえき,noun,预期利益损失,音,漢語（多く音読み）と推定
683,隠語,いんご,noun,切口; 黑话,音,漢語（多く音読み）と推定
684,右記,うき,noun,右记,音,漢語（多く音読み）と推定
685,有価証券,ゆうかしょうけん,noun,有价证券,音,漢語（多く音読み）と推定
686,優良,ゆうりょう,na-adj,优良,音,漢語（多く音読み）と推定
687,優位性,ゆういせい,noun,优势性,音,漢語（多く音読み）と推定
688,余剰人員,よじょうじんいん,noun,冗员,音,漢語（多く音読み）と推定
689,予後,よご,noun,预后,音,漢語（多く音読み）と推定
690,抑止力,よくしりょく,noun,威慑力,音,漢語（多く音読み）と推定
691,落雷,らくらい,verb-noun,雷击,音,漢語（多く音読み）と推定
692,濫伐,らんばつ,verb-noun,滥伐,音,漢語（多く音読み）と推定
693,履歴,りれき,noun,履历,音,漢語（多く音読み）と推定
694,利潤率,りじゅんりつ,noun,利润率,音,漢語（多く音読み）と推定
695,良好,りょうこう,na-adj,良好,音,漢語（多く音読み）と推定
696,臨海,りんかい,na-adj,临海,音,漢語（多く音読み）と推定
697,類似,るいじ,na-adj,类似,音,漢語（多く音読み）と推定
698,霊能者,れいのうしゃ,noun,灵能者,音,漢語（多く音読み）と推定
699,零度,れいど,noun,零度,音,漢語（多く音読み）と推定
700,労苦,ろうく,noun,劳苦,音,漢語（多く音読み）と推定
