id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
177,栽培,さいばい,verb-noun,栽培,音,漢語（多く音読み）と推定
178,在籍,ざいせき,verb-noun,在籍,音,漢語（多く音読み）と推定
179,査定,さてい,verb-noun,评估; 鉴定,音,漢語（多く音読み）と推定
180,作図,さくず,verb-noun,制图,音,漢語（多く音読み）と推定
181,搾取,さくしゅ,verb-noun,剥削,音,漢語（多く音読み）と推定
182,索引,さくいん,noun,索引,音,漢語（多く音読み）と推定
183,削除,さくじょ,verb-noun,删除,音,漢語（多く音読み）と推定
184,参照,さんしょう,verb-noun,参照,音,漢語（多く音読み）と推定
185,散漫,さんまん,na-adj,散漫,音,漢語（多く音読み）と推定
186,賛否,さんぴ,noun,赞成与反对,音,漢語（多く音読み）と推定
187,残虐,ざんぎゃく,na-adj,残虐,音,漢語（多く音読み）と推定
188,仕組み,しくみ,noun,机制; 结构,訓/混合,okuriganaあり → 和語/混合の可能性高
189,施行,しこう,verb-noun,施行,音,漢語（多く音読み）と推定
190,施策,しさく,noun,施策; 措施,音,漢語（多く音読み）と推定
191,志向,しこう,verb-noun,志向; 倾向,音,漢語（多く音読み）と推定
192,嗜好,しこう,noun,嗜好,音,漢語（多く音読み）と推定
193,資金,しきん,noun,资金,音,漢語（多く音読み）と推定
194,資産,しさん,noun,资产,音,漢語（多く音読み）と推定
195,視察,しさつ,verb-noun,视察,音,漢語（多く音読み）と推定
196,示唆,しさ,verb-noun,启示; 暗示,音,漢語（多く音読み）と推定
197,持続,じぞく,verb-noun,持续,音,漢語（多く音読み）と推定
198,時折,ときおり,adv,时而; 偶尔,音,漢語（多く音読み）と推定
199,事業,じぎょう,noun,事业,音,漢語（多く音読み）と推定
200,事象,じしょう,noun,现象; 事象,音,漢語（多く音読み）と推定
201,自治,じち,noun,自治,音,漢語（多く音読み）と推定
202,自重,じちょう,verb-noun,自重; 慎重行事,音,漢語（多く音読み）と推定
203,実証,じっしょう,verb-noun,实证,音,漢語（多く音読み）と推定
204,実態,じったい,noun,实体; 实际情况,音,漢語（多く音読み）と推定
205,実費,じっぴ,noun,实费; 成本价,音,漢語（多く音読み）と推定
206,軸,じく,noun,轴,音,既定（単漢字・要個別確認）
207,従事,じゅうじ,verb-noun,从事,音,漢語（多く音読み）と推定
208,充足,じゅうそく,verb-noun,充足,音,漢語（多く音読み）と推定
209,充当,じゅうとう,verb-noun,充作; 划拨,音,漢語（多く音読み）と推定
210,重宝,ちょうほう,na-adj,方便有用; 珍视,音,漢語（多く音読み）と推定
211,柔軟,じゅうなん,na-adj,柔软; 灵活,音,漢語（多く音読み）と推定
212,授与,じゅよ,verb-noun,授予,音,漢語（多く音読み）と推定
213,需要,じゅよう,noun,需求,音,漢語（多く音読み）と推定
214,旬,じゅん,noun,上中下旬之一,音,既定（単漢字・要個別確認）
215,順応,じゅんのう,verb-noun,适应,音,漢語（多く音読み）と推定
216,処遇,しょぐう,verb-noun,待遇; 处置,音,漢語（多く音読み）と推定
217,処置,しょち,verb-noun,处置,音,漢語（多く音読み）と推定
218,所蔵,しょぞう,verb-noun,收藏,音,漢語（多く音読み）と推定
219,所在,しょざい,noun,所在,音,漢語（多く音読み）と推定
220,所定,しょてい,na-adj,规定的; 既定,音,漢語（多く音読み）と推定
221,諸般,しょはん,noun,诸般; 各种,音,漢語（多く音読み）と推定
222,助長,じょちょう,verb-noun,助长,音,漢語（多く音読み）と推定
223,叙述,じょじゅつ,verb-noun,叙述,音,漢語（多く音読み）と推定
224,上昇,じょうしょう,verb-noun,上升,音,漢語（多く音読み）と推定
225,上限,じょうげん,noun,上限,音,漢語（多く音読み）と推定
226,証言,しょうげん,verb-noun,证言,音,漢語（多く音読み）と推定
227,照合,しょうごう,verb-noun,核对,音,漢語（多く音読み）と推定
228,詳述,しょうじゅつ,verb-noun,详述,音,漢語（多く音読み）と推定
229,衝突,しょうとつ,verb-noun,冲突,音,漢語（多く音読み）と推定
230,醸成,じょうせい,verb-noun,酿成; 培养氛围,音,漢語（多く音読み）と推定
231,譲歩,じょうほ,verb-noun,让步,音,漢語（多く音読み）と推定
232,抄録,しょうろく,verb-noun,摘录; 摘要,音,漢語（多く音読み）と推定
233,振興,しんこう,verb-noun,振兴,音,漢語（多く音読み）と推定
234,進呈,しんてい,verb-noun,奉送; 赠送,音,漢語（多く音読み）と推定
235,進捗,しんちょく,verb-noun,进展,音,漢語（多く音読み）と推定
236,新陳代謝,しんちんたいしゃ,noun,新陈代谢,音,漢語（多く音読み）と推定
237,真偽,しんぎ,noun,真伪,音,漢語（多く音読み）と推定
238,審査,しんさ,verb-noun,审查,音,漢語（多く音読み）と推定
239,申告,しんこく,verb-noun,申报,音,漢語（多く音読み）と推定
240,人体,じんたい,noun,人体,音,漢語（多く音読み）と推定
241,人為,じんい,noun,人为,音,漢語（多く音読み）と推定
242,人件費,じんけんひ,noun,人件费,音,漢語（多く音読み）と推定
243,人格,じんかく,noun,人格,音,漢語（多く音読み）と推定
244,人格権,じんかくけん,noun,人格权,音,漢語（多く音読み）と推定
245,陣取る,じんどる,v5,占据; 抢占,訓/混合,okuriganaあり → 和語/混合の可能性高
246,水準,すいじゅん,noun,水准,音,漢語（多く音読み）と推定
247,推移,すいい,verb-noun,推移; 变化,音,漢語（多く音読み）と推定
248,推察,すいさつ,verb-noun,推测,音,漢語（多く音読み）と推定
249,推奨,すいしょう,verb-noun,推荐,音,漢語（多く音読み）と推定
250,垂直,すいちょく,noun,垂直,音,漢語（多く音読み）と推定
251,据える,すえる,v1,安置; 摆放; 安装,訓/混合,okuriganaあり → 和語/混合の可能性高
252,据え置き,すえおき,noun,搁置; 保留原状,訓/混合,okuriganaあり → 和語/混合の可能性高
253,崇拝,すうはい,verb-noun,崇拜,音,漢語（多く音読み）と推定
254,崇高,すうこう,na-adj,崇高,音,漢語（多く音読み）と推定
255,制御,せいぎょ,verb-noun,控制; 制御,音,漢語（多く音読み）と推定
256,整頓,せいとん,verb-noun,整顿,音,漢語（多く音読み）と推定
257,成果,せいか,noun,成果,音,漢語（多く音読み）と推定
258,牲,せい,noun,牺牲（文語）,音,既定（単漢字・要個別確認）
259,正規,せいき,na-adj,正规; 正式,音,漢語（多く音読み）と推定
260,正体,しょうたい,noun,真面目; 真身,音,漢語（多く音読み）と推定
261,政策,せいさく,noun,政策,音,漢語（多く音読み）と推定
262,生態系,せいたいけい,noun,生态系统,音,漢語（多く音読み）と推定
263,静止,せいし,verb-noun,静止,音,漢語（多く音読み）と推定
264,精巧,せいこう,na-adj,精巧,音,漢語（多く音読み）と推定
265,精査,せいさ,verb-noun,精查,音,漢語（多く音読み）と推定
266,成熟,せいじゅく,verb-noun,成熟,音,漢語（多く音読み）と推定
267,請求,せいきゅう,verb-noun,请求; 索赔,音,漢語（多く音読み）と推定
268,精彩,せいさい,na-adj,精彩,音,漢語（多く音読み）と推定
269,清算,せいさん,verb-noun,清算,音,漢語（多く音読み）と推定
270,脆弱,ぜいじゃく,na-adj,脆弱,音,漢語（多く音読み）と推定
271,跡継ぎ,あとつぎ,noun,继承人,訓/混合,okuriganaあり → 和語/混合の可能性高
272,絶妙,ぜつみょう,na-adj,绝妙,音,漢語（多く音読み）と推定
273,舌禍,ぜっか,noun,祸从口出,音,漢語（多く音読み）と推定
274,是非,ぜひ,noun,可否; 一定要（副）,音,漢語（多く音読み）と推定
275,是認,ぜにん,verb-noun,认可; 承认,音,漢語（多く音読み）と推定
276,前提,ぜんてい,noun,前提,音,漢語（多く音読み）と推定
277,全般,ぜんぱん,noun,全般; 全面,音,漢語（多く音読み）と推定
278,先決,せんけつ,noun,先决,音,漢語（多く音読み）と推定
279,先駆,せんく,verb-noun,先驱,音,漢語（多く音読み）と推定
280,専念,せんねん,verb-noun,专心致志,音,漢語（多く音読み）と推定
281,選考,せんこう,verb-noun,选拔; 审核,音,漢語（多く音読み）と推定
282,遷移,せんい,verb-noun,迁移; 变迁,音,漢語（多く音読み）と推定
283,鮮明,せんめい,na-adj,鲜明,音,漢語（多く音読み）と推定
284,前途,ぜんと,noun,前途,音,漢語（多く音読み）と推定
285,先行,せんこう,verb-noun,先行,音,漢語（多く音読み）と推定
286,相殺,そうさい,verb-noun,相抵; 抵消,音,漢語（多く音読み）と推定
287,総括,そうかつ,verb-noun,总括,音,漢語（多く音読み）と推定
288,創造,そうぞう,verb-noun,创造,音,漢語（多く音読み）と推定
289,装置,そうち,noun,装置,音,漢語（多く音読み）と推定
290,葬る,ほうむる,v5,埋葬; 封杀,訓/混合,okuriganaあり → 和語/混合の可能性高
291,促進,そくしん,verb-noun,促进,音,漢語（多く音読み）と推定
292,即位,そくい,verb-noun,即位,音,漢語（多く音読み）と推定
293,側面,そくめん,noun,侧面,音,漢語（多く音読み）と推定
294,測定,そくてい,verb-noun,测定,音,漢語（多く音読み）と推定
295,束縛,そくばく,verb-noun,束缚,音,漢語（多く音読み）と推定
296,遡及,そっきゅう,verb-noun,溯及; 追溯,音,漢語（多く音読み）と推定
297,訴追,そつい,verb-noun,起诉; 追诉,音,漢語（多く音読み）と推定
298,損得,そんとく,noun,得失,音,漢語（多く音読み）と推定
299,尊厳,そんげん,noun,尊严,音,漢語（多く音読み）と推定
300,尊重,そんちょう,verb-noun,尊重,音,漢語（多く音読み）と推定
