id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
562,浪人,ろうにん,noun,浪人; 待业生,音,漢語（多く音読み）と推定
563,朗報,ろうほう,noun,喜讯,音,漢語（多く音読み）と推定
564,労務,ろうむ,noun,劳务,音,漢語（多く音読み）と推定
565,労力,ろうりょく,noun,劳力,音,漢語（多く音読み）と推定
566,弄る,いじる,v1,摆弄; 抠,訓/混合,okuriganaあり → 和語/混合の可能性高
567,籠城,ろうじょう,verb-noun,困守,音,漢語（多く音読み）と推定
568,論点,ろんてん,noun,论点,音,漢語（多く音読み）と推定
569,論破,ろんぱ,verb-noun,驳倒,音,漢語（多く音読み）と推定
570,和やか,なごやか,na-adj,和气; 平静,訓/混合,okuriganaあり → 和語/混合の可能性高
571,倭寇,わこう,noun,倭寇,音,漢語（多く音読み）と推定
572,話術,わじゅつ,noun,说话技巧,音,漢語（多く音読み）と推定
573,湾岸,わんがん,noun,海湾沿岸,音,漢語（多く音読み）と推定
574,腕前,うでまえ,noun,本事; 手艺,音,漢語（多く音読み）と推定
575,案の定,あんのじょう,adv,果然,訓/混合,okuriganaあり → 和語/混合の可能性高
576,暗黙知,あんもくち, noun,默会知识,音,漢語（多く音読み）と推定
577,意図,いと,verb-noun,意图,音,漢語（多く音読み）と推定
578,一任,いちにん,verb-noun,委任,音,漢語（多く音読み）と推定
579,一節,いっせつ,noun,一段; 一节,音,漢語（多く音読み）と推定
580,逸脱的,いつだつてき,na-adj,越轨的,音,漢語（多く音読み）と推定
581,飲み込む,のみこむ,v1,吞下; 理解,訓/混合,okuriganaあり → 和語/混合の可能性高
582,隠蔽,いんぺい,verb-noun,隐瞒; 隐蔽,音,漢語（多く音読み）と推定
583,右肩上がり,みぎかたあがり,na-adj,呈上升趋势,訓/混合,okuriganaあり → 和語/混合の可能性高
584,雨天決行,うてんけっこう,noun,风雨无阻,音,漢語（多く音読み）と推定
585,有機的,ゆうきてき,na-adj,有机地,音,漢語（多く音読み）と推定
586,有形無形,ゆうけいむけい,noun,有形无形,音,漢語（多く音読み）と推定
587,優位,ゆうい,na-adj,优势,音,漢語（多く音読み）と推定
588,有望,ゆうぼう,na-adj,有希望,音,漢語（多く音読み）と推定
589,予見,よけん,verb-noun,预见,音,漢語（多く音読み）と推定
590,予備費,よびひ,noun,预备费,音,漢語（多く音読み）と推定
591,余波,よは, noun,余波; 影响,音,漢語（多く音読み）と推定
592,抑止,よくし,verb-noun,威慑; 抑制,音,漢語（多く音読み）と推定
593,来歴,らいれき,noun,来历,音,漢語（多く音読み）と推定
594,落伍,らくご,verb-noun,落伍,音,漢語（多く音読み）と推定
595,濫用,らんよう,verb-noun,滥用,音,漢語（多く音読み）と推定
596,利子,りし,noun,利息,音,漢語（多く音読み）と推定
597,利他,りた,na-adj,利他,音,漢語（多く音読み）と推定
598,利点,りてん,noun,优点,音,漢語（多く音読み）と推定
599,両極端,りょうきょくたん,noun,两极端,音,漢語（多く音読み）と推定
600,臨床,りんしょう,noun,临床,音,漢語（多く音読み）と推定
