id,kanji,reading,pos,meaning_zh
770,論争,ろんそう,verb-noun,论争
771,和洋,わよう,noun,和洋
772,腕立て伏せ,うでたてふせ,noun,俯卧撑
773,暗号鍵,あんごうかぎ,noun,加密密钥
774,算用,さんよう,noun,算用; 计算
775,違憲,いけん,na-adj,违宪
776,一家言,いっかげん,noun,独到见解
777,一騎当千,いっきとうせん,noun,一骑当千
778,逸脱行為,いつだつこうい,noun,越轨行为
779,引用句,いんようく,noun,引句
780,右折禁止,うせつきんし,noun,禁止右转
781,有権者,ゆうけんしゃ,noun,选民
782,優柔不断,ゆうじゅうふだん,na-adj,优柔寡断
783,余地,よち,noun,余地
784,予測不能,よそくふのう,na-adj,不可预测
785,抑圧的,よくあつてき,na-adj,压抑的
786,落胆気味,らくたんぎみ,na-adj,略显沮丧
787,濫刑,らんけい,noun,滥刑
788,履行不能,りこうふのう,noun,不能履行
789,利益供与,りえききょうよ,noun,利益输送
790,良否,りょうひ,noun,好坏
791,臨床試験,りんしょうしけん,noun,临床试验
792,類推推論,るいすいすいろん,noun,类推推理
793,零細店,れいさいてん,noun,小店
794,労相官邸,ろうしょうかんてい,noun,劳动相官邸
795,老齢年金,ろうれいねんきん,noun,高龄年金
796,浪費度,ろうひど,noun,浪费度
797,論証,ろんしょう,verb-noun,论证
798,和議,わぎ,noun,和议
799,腕比べ,うでくらべ,noun,比本事
800,暗号学,あんごうがく,noun,密码学
801,算法的,さんぽうてき,na-adj,算法的
802,違反,いはん,verb-noun,违反
803,一家団欒,いっかだんらん,noun,天伦之乐
804,一計を案ずる,いっけいをあんずる,expr,想一计
805,一挙手一投足,いっきょしゅいっとうそく,noun,一举一动
806,逸脱率,いつだつりつ,noun,越轨率
807,引用元,いんようもと,noun,出处
808,右派勢力,うはせいりょく,noun,右翼势力
809,有機農業,ゆうきのうぎょう,noun,有机农业
810,優越的地位,ゆうえつてきちい,noun,优势地位
811,余分,よぶん,na-adj,多余
812,予見可能,よけんかのう,na-adj,可预见
813,抑止政策,よくしせいさく,noun,威慑政策
814,落下傘,らっかさん,noun,降落伞
815,濫発,らんぱつ,verb-noun,滥发
816,履修要件,りしゅうようけん,noun,修读要求
817,利益相反関係,りえきそうはんかんけい,noun,利益冲突关系
818,良質化,りょうしつか,verb-noun,高质量化
819,臨場感,りんじょうかん,noun,临场感
820,類推能力,るいすいのうりょく,noun,类推能力
821,零落貴族,れいらくきぞく,noun,没落贵族
822,労役刑,ろうえきけい,noun,劳役刑
823,労使紛争,ろうしふんそう,noun,劳资纠纷
824,老齢化,ろうれいか,noun,老龄化
825,浪曲師,ろうきょくし,noun,浪曲师
826,論理性,ろんりせい,noun,逻辑性
827,和解案,わかいあん,noun,和解方案
828,腕相,わんそう,noun,腕相
829,暗礁,あんしょう,noun,暗礁
830,算法論,さんぽうろん,noun,算法论
831,違約金,いやくきん,noun,违约金
832,一挙公開,いっきょこうかい,noun,一次性公开
833,一元管理,いちげんかんり,noun,一元管理
834,逸話集,いつわしゅう,noun,轶事集
835,引用情報,いんようじょうほう,noun,引用信息
836,右斜め,みぎななめ,na-adj,右斜
837,有形固定資産,ゆうけいこていしさん,noun,有形固定资产
838,優遇措置,ゆうぐうそち,noun,优惠措施
839,余裕資金,よゆうしきん,noun,富余资金
840,予備役,よびえき,noun,预备役
841,抑圧感,よくあつかん,noun,压抑感
842,落差拡大,らくさかくだい,noun,差距扩大
843,濫造品,らんぞうひん,noun,滥制品
844,履修履歴,りしゅうりれき,noun,修读履历
845,利益率,りえきりつ,noun,利润率
846,良識,りょうしき,noun,良识
847,臨界事故,りんかいじこ,noun,临界事故
848,類推統計,るいすいとうけい,noun,推断统计
849,零時,れいじ,noun,零时
850,労賃,ろうちん,noun,工钱; 劳务费
851,老舗旅館,しにせりょかん,noun,老字号旅馆
852,漏話防止,ろうわぼうし,noun,防窃听
853,浪速,なにわ,noun,浪速（大阪古称）
854,論旨明快,ろんしめいかい,na-adj,论旨明快
855,和文注釈,わぶんちゅうしゃく,noun,日文注释
856,腕白坊主,わんぱくぼうず,noun,淘气包
857,暗記,あんき,verb-noun,死记
858,算出,さんしゅつ,verb-noun,算出
859,違和,いわ,na-adj,不协调
860,一案,いちあん,noun,一案
861,一括払い,いっかつばらい,noun,一次性付款
862,逸早,いちはや,na-adj,尽早（口误）
863,引用先,いんようさき,noun,引用来源
864,右記参照,うきさんしょう,noun,参见右侧
865,有益性,ゆうえきせい,noun,有益性
866,優劣,ゆうれつ,noun,优劣
867,余韻,よいん,noun,余韵
868,予備知識,よびちしき,noun,预备知识
869,抑鬱,よくうつ,na-adj,抑郁
870,落差是正,らくさぜせい,noun,差距矫正
871,濫伐禁止,らんばつきんし,noun,禁止滥伐
872,履修要覧,りしゅうようらん,noun,修读指南
873,利益配分,りえきはいぶん,noun,利益分配
874,良縁,りょうえん,noun,良缘
875,臨機応変,りんきおうへん,na-adj,随机应变
876,類推検定,るいすいけんてい,noun,推断检验
877,零落ぶり,れいらくぶり,noun,衰落情状
878,労組幹部,ろうそかんぶ,noun,工会干部
879,労政,ろうせい,noun,劳动政策
880,老境,ろうきょう,noun,暮年
881,浪漫的,ろまんてき,na-adj,浪漫的
882,論争点,ろんそうてん,noun,争议焦点
883,和訳注,わやくちゅう,noun,译注
884,腕輪,うでわ,noun,手镯
885,暗示的,あんじてき,na-adj,暗示的
886,算盤勘定,そろばんかんじょう,noun,算盘打得精
887,違憲審査,いけんしんさ,noun,违宪审查
888,一概に,いちがいに,adv,一概地
889,一顧,いっこ,noun,一顾
890,逸話的,いつわてき,na-adj,轶事的
891,引用権,いんようけん,noun,引用权
892,右派的,うはてき,na-adj,右翼的
893,有機質,ゆうきしつ,noun,有机质
894,優れ物,すぐれもの,noun,好东西
895,余所事,よそごと,noun,旁人之事
896,予備費枠,よびひわく,noun,预备费额度
897,抑揚法,よくようほう,noun,抑扬法
898,落差縮小,らくさしゅくしょう,noun,差距缩小
899,濫造気味,らんぞうぎみ,na-adj,略显滥造
900,履修科目,りしゅうかもく,noun,修读科目
