id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
41,咀嚼,そしゃく,verb-noun,咀嚼; 反复体会,音,漢語（多く音読み）と推定
42,左遷,させん,verb-noun,降职; 贬职,音,漢語（多く音読み）と推定
43,作為,さくい,noun,人为; 做作,音,漢語（多く音読み）と推定
44,錯覚,さっかく,noun,错觉,音,漢語（多く音読み）と推定
45,妥協,だきょう,verb-noun,妥协,音,漢語（多く音読み）と推定
46,妥当,だとう,na-adj,妥当; 合理,音,漢語（多く音読み）と推定
47,堕落,だらく,verb-noun,堕落,音,漢語（多く音読み）と推定
48,単一,たんいつ,noun,单一,音,漢語（多く音読み）と推定
49,陳腐,ちんぷ,na-adj,陈腐; 老套,音,漢語（多く音読み）と推定
50,追及,ついきゅう,verb-noun,追究; 追问,音,漢語（多く音読み）と推定
51,追求,ついきゅう,verb-noun,追求,音,漢語（多く音読み）と推定
52,追跡,ついせき,verb-noun,追踪,音,漢語（多く音読み）と推定
53,提携,ていけい,verb-noun,合作; 结成伙伴,音,漢語（多く音読み）と推定
54,提示,ていじ,verb-noun,出示; 提示,音,漢語（多く音読み）と推定
55,訂正,ていせい,verb-noun,订正,音,漢語（多く音読み）と推定
56,徹底,てってい,verb-noun,彻底,音,漢語（多く音読み）と推定
57,転嫁,てんか,verb-noun,转嫁,音,漢語（多く音読み）と推定
58,統括,とうかつ,verb-noun,统筹; 总括,音,漢語（多く音読み）と推定
59,統合,とうごう,verb-noun,整合; 统合,音,漢語（多く音読み）と推定
60,到達,とうたつ,verb-noun,到达,音,漢語（多く音読み）と推定
61,同調,どうちょう,verb-noun,同调; 附和,音,漢語（多く音読み）と推定
62,動向,どうこう,noun,动向; 趋势,音,漢語（多く音読み）と推定
63,淘汰,とうた,verb-noun,淘汰,音,漢語（多く音読み）と推定
64,特筆,とくひつ,verb-noun,特笔; 特别值得一提,音,漢語（多く音読み）と推定
65,内包,ないほう,verb-noun,内涵; 包含,音,漢語（多く音読み）と推定
66,難航,なんこう,verb-noun,进展困难,音,漢語（多く音読み）と推定
67,波及,はきゅう,verb-noun,波及; 影响扩散,音,漢語（多く音読み）と推定
68,破綻,はたん,verb-noun,破产; 破绽,音,漢語（多く音読み）と推定
69,抜粋,ばっすい,verb-noun,摘录; 选录,音,漢語（多く音読み）と推定
70,罰則,ばっそく,noun,惩罚条款,音,漢語（多く音読み）と推定
71,発足,ほっそく,verb-noun,成立; 启动,音,漢語（多く音読み）と推定
72,反映,はんえい,verb-noun,反映,音,漢語（多く音読み）と推定
73,繁栄,はんえい,verb-noun,繁荣,音,漢語（多く音読み）と推定
74,氾濫,はんらん,verb-noun,泛滥,音,漢語（多く音読み）と推定
75,肥大化,ひだいか,verb-noun,肥大化; 过度膨胀,音,漢語（多く音読み）と推定
76,非難,ひなん,verb-noun,非难; 指责,音,漢語（多く音読み）と推定
77,否決,ひけつ,verb-noun,否决,音,漢語（多く音読み）と推定
78,疲弊,ひへい,verb-noun,疲敝; 衰弱,音,漢語（多く音読み）と推定
79,付随,ふずい,verb-noun,附带; 伴随,音,漢語（多く音読み）と推定
80,浮上,ふじょう,verb-noun,浮现; 上浮,音,漢語（多く音読み）と推定
81,腐敗,ふはい,verb-noun,腐败,音,漢語（多く音読み）と推定
82,赴任,ふにん,verb-noun,赴任,音,漢語（多く音読み）と推定
83,負荷,ふか,noun,负荷,音,漢語（多く音読み）と推定
84,紛糾,ふんきゅう,verb-noun,纷争; 纠葛,音,漢語（多く音読み）と推定
85,分岐,ぶんき,verb-noun,分岐; 分叉,音,漢語（多く音読み）と推定
86,並行,へいこう,verb-noun,并行; 同时进行,音,漢語（多く音読み）と推定
87,閉鎖,へいさ,verb-noun,封闭; 关闭,音,漢語（多く音読み）と推定
88,変遷,へんせん,verb-noun,变迁,音,漢語（多く音読み）と推定
89,補完,ほかん,verb-noun,补完; 补充,音,漢語（多く音読み）と推定
90,補足,ほそく,verb-noun,补充; 补足,音,漢語（多く音読み）と推定
91,模索,もさく,verb-noun,摸索,音,漢語（多く音読み）と推定
92,網羅,もうら,verb-noun,网罗; 全面覆盖,音,漢語（多く音読み）と推定
93,有益,ゆうえき,na-adj,有益,音,漢語（多く音読み）と推定
94,誘致,ゆうち,verb-noun,引进; 招徕,音,漢語（多く音読み）と推定
95,抑制,よくせい,verb-noun,抑制; 控制,音,漢語（多く音読み）と推定
96,予断,よだん,noun,预断; 过早判断,音,漢語（多く音読み）と推定
97,来訪,らいほう,verb-noun,来访,音,漢語（多く音読み）と推定
98,利害,りがい,noun,利害,音,漢語（多く音読み）と推定
99,流布,るふ,verb-noun,流传; 散布,音,漢語（多く音読み）と推定
100,冷遇,れいぐう,verb-noun,冷遇,音,漢語（多く音読み）と推定
101,浪費,ろうひ,verb-noun,浪费,音,漢語（多く音読み）と推定
102,露呈,ろてい,verb-noun,暴露; 揭示,音,漢語（多く音読み）と推定
103,論拠,ろんきょ,noun,论据,音,漢語（多く音読み）と推定
104,論旨,ろんし,noun,论旨; 主旨,音,漢語（多く音読み）と推定
105,割愛,かつあい,verb-noun,割爱; 舍弃,音,漢語（多く音読み）と推定
106,隔絶,かくぜつ,verb-noun,隔绝,音,漢語（多く音読み）と推定
107,確信,かくしん,verb-noun,确信,音,漢語（多く音読み）と推定
108,確立,かくりつ,verb-noun,确立,音,漢語（多く音読み）と推定
109,過度,かど,na-adj,过度,音,漢語（多く音読み）と推定
110,干渉,かんしょう,verb-noun,干涉,音,漢語（多く音読み）と推定
111,監視,かんし,verb-noun,监视,音,漢語（多く音読み）と推定
112,貫徹,かんてつ,verb-noun,贯彻,音,漢語（多く音読み）と推定
113,旗印,はたじるし,noun,旗号; 旗帜,音,漢語（多く音読み）と推定
114,既成,きせい,na-adj,n 既成; 现成,音,漢語（多く音読み）と推定
115,忌避,きひ,verb-noun,回避; 忌讳,音,漢語（多く音読み）と推定
116,希求,ききゅう,verb-noun,渴求; 希求,音,漢語（多く音読み）と推定
117,起因,きいん,verb-noun,起因; 由来,音,漢語（多く音読み）と推定
118,危惧,きぐ,verb-noun,担忧; 忧虑,音,漢語（多く音読み）と推定
119,稀有,きゆう,na-adj,稀有,音,漢語（多く音読み）と推定
120,均質,きんしつ,na-adj,均质; 同质,音,漢語（多く音読み）と推定
121,緊密,きんみつ,na-adj,紧密,音,漢語（多く音読み）と推定
122,禁物,きんもつ,noun,忌讳之物; 应避免的事,音,漢語（多く音読み）と推定
123,駆動,くどう,verb-noun,驱动,音,漢語（多く音読み）と推定
124,掘削,くっさく,verb-noun,开采; 开挖,音,漢語（多く音読み）と推定
125,係争,けいそう,verb-noun,争议; 诉讼,音,漢語（多く音読み）と推定
126,綱領,こうりょう,noun,纲领,音,漢語（多く音読み）と推定
127,恒常,こうじょう,na-adj,恒常; 持续稳定,音,漢語（多く音読み）と推定
128,抗弁,こうべん,verb-noun,抗辩,音,漢語（多く音読み）と推定
129,考証,こうしょう,verb-noun,考证,音,漢語（多く音読み）と推定
130,合議,ごうぎ,verb-noun,合议; 合议制,音,漢語（多く音読み）と推定
131,誤謬,ごびゅう,noun,谬误,音,漢語（多く音読み）と推定
132,再編,さいへん,verb-noun,重组; 再编,音,漢語（多く音読み）と推定
133,再燃,さいねん,verb-noun,死灰复燃,音,漢語（多く音読み）と推定
134,採算,さいさん,noun,经济核算; 收支,音,漢語（多く音読み）と推定
135,細分,さいぶん,verb-noun,细分,音,漢語（多く音読み）と推定
136,削減,さくげん,verb-noun,削减,音,漢語（多く音読み）と推定
137,策定,さくてい,verb-noun,制定; 策划,音,漢語（多く音読み）と推定
138,指針,ししん,noun,指针; 指南,音,漢語（多く音読み）と推定
139,試算,しさん,verb-noun,试算,音,漢語（多く音読み）と推定
140,自負,じふ,verb-noun,自负; 自信,音,漢語（多く音読み）と推定
141,是正,ぜせい,verb-noun,纠正; 校正,音,漢語（多く音読み）と推定
142,増殖,ぞうしょく,verb-noun,增殖,音,漢語（多く音読み）と推定
143,遜色,そんしょく,noun,逊色,音,漢語（多く音読み）と推定
144,多岐,たき,na-adj,多岐; 多方面,音,漢語（多く音読み）と推定
145,端緒,たんしょ,noun,端倪; 线索,音,漢語（多く音読み）と推定
146,知見,ちけん,noun,见解; 认识,音,漢語（多く音読み）と推定
147,抽出,ちゅうしゅつ,verb-noun,抽取,音,漢語（多く音読み）と推定
148,陳述,ちんじゅつ,verb-noun,陈述,音,漢語（多く音読み）と推定
149,追認,ついにん,verb-noun,追认,音,漢語（多く音読み）と推定
150,追補,ついほ,verb-noun,增补; 追补,音,漢語（多く音読み）と推定
