id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
747,一向に,いっこうに,adv,丝毫（不）,訓/混合,okuriganaあり → 和語/混合の可能性高
748,一挙両得,いっきょりょうとく,noun,一举两得,音,漢語（多く音読み）と推定
749,逸失,いっしつ,noun,丧失,音,漢語（多く音読み）と推定
750,引用文,いんようぶん,noun,引文,音,漢語（多く音読み）と推定
751,右往左往する,うおうさおうする,vs,慌乱,訓/混合,okuriganaあり → 和語/混合の可能性高
752,有利不利,ゆうりふり,noun,有利与不利,音,漢語（多く音読み）と推定
753,優先順位,ゆうせんじゅんい,noun,优先顺序,音,漢語（多く音読み）と推定
754,余談,よだん,noun,题外话,音,漢語（多く音読み）と推定
755,予想外,よそうがい,na-adj,意外,音,漢語（多く音読み）と推定
756,抑え込む,おさえこむ,v1,压制,訓/混合,okuriganaあり → 和語/混合の可能性高
757,落花生,らっかせい,noun,花生,音,漢語（多く音読み）と推定
758,濫費,らんぴ,verb-noun,浪费,音,漢語（多く音読み）と推定
759,履修登録,りしゅうとうろく,noun,选课注册,音,漢語（多く音読み）と推定
760,利益相反,りえきそうはん,noun,利益冲突,音,漢語（多く音読み）と推定
761,良策,りょうさく,noun,良策,音,漢語（多く音読み）と推定
762,臨床心理,りんしょうしんり,noun,临床心理,音,漢語（多く音読み）と推定
763,類推法,るいすいほう,noun,类推法,音,漢語（多く音読み）と推定
764,冷笑,れいしょう,verb-noun,冷笑,音,漢語（多く音読み）と推定
765,零細事業者,れいさいじぎょうしゃ,noun,小微经营者,音,漢語（多く音読み）と推定
766,労使関係,ろうしかんけい,noun,劳资关系,音,漢語（多く音読み）と推定
767,労相就任,ろうしょうしゅうにん,noun,就任劳动大臣,音,漢語（多く音読み）と推定
768,老獪,ろうかい,na-adj,老奸巨猾,音,漢語（多く音読み）と推定
769,浪費癖,ろうひぐせ,noun,浪费习惯,音,漢語（多く音読み）と推定
770,論争,ろんそう,verb-noun,论争,音,漢語（多く音読み）と推定
771,和洋,わよう,noun,和洋,音,漢語（多く音読み）と推定
772,腕立て伏せ,うでたてふせ,noun,俯卧撑,訓/混合,okuriganaあり → 和語/混合の可能性高
773,暗号鍵,あんごうかぎ,noun,加密密钥,音,漢語（多く音読み）と推定
774,算用,さんよう,noun,算用; 计算,音,漢語（多く音読み）と推定
775,違憲,いけん,na-adj,违宪,音,漢語（多く音読み）と推定
776,一家言,いっかげん,noun,独到见解,音,漢語（多く音読み）と推定
777,一騎当千,いっきとうせん,noun,一骑当千,音,漢語（多く音読み）と推定
778,逸脱行為,いつだつこうい,noun,越轨行为,音,漢語（多く音読み）と推定
779,引用句,いんようく,noun,引句,音,漢語（多く音読み）と推定
780,右折禁止,うせつきんし,noun,禁止右转,音,漢語（多く音読み）と推定
781,有権者,ゆうけんしゃ,noun,选民,音,漢語（多く音読み）と推定
782,優柔不断,ゆうじゅうふだん,na-adj,优柔寡断,音,漢語（多く音読み）と推定
783,余地,よち,noun,余地,音,漢語（多く音読み）と推定
784,予測不能,よそくふのう,na-adj,不可预测,音,漢語（多く音読み）と推定
785,抑圧的,よくあつてき,na-adj,压抑的,音,漢語（多く音読み）と推定
786,落胆気味,らくたんぎみ,na-adj,略显沮丧,音,漢語（多く音読み）と推定
787,濫刑,らんけい,noun,滥刑,音,漢語（多く音読み）と推定
788,履行不能,りこうふのう,noun,不能履行,音,漢語（多く音読み）と推定
789,利益供与,りえききょうよ,noun,利益输送,音,漢語（多く音読み）と推定
790,良否,りょうひ,noun,好坏,音,漢語（多く音読み）と推定
791,臨床試験,りんしょうしけん,noun,临床试验,音,漢語（多く音読み）と推定
792,類推推論,るいすいすいろん,noun,类推推理,音,漢語（多く音読み）と推定
793,零細店,れいさいてん,noun,小店,音,漢語（多く音読み）と推定
794,労相官邸,ろうしょうかんてい,noun,劳动相官邸,音,漢語（多く音読み）と推定
795,老齢年金,ろうれいねんきん,noun,高龄年金,音,漢語（多く音読み）と推定
796,浪費度,ろうひど,noun,浪费度,音,漢語（多く音読み）と推定
797,論証,ろんしょう,verb-noun,论证,音,漢語（多く音読み）と推定
798,和議,わぎ,noun,和议,音,漢語（多く音読み）と推定
799,腕比べ,うでくらべ,noun,比本事,訓/混合,okuriganaあり → 和語/混合の可能性高
800,暗号学,あんごうがく,noun,密码学,音,漢語（多く音読み）と推定
801,算法的,さんぽうてき,na-adj,算法的,音,漢語（多く音読み）と推定
802,違反,いはん,verb-noun,违反,音,漢語（多く音読み）と推定
803,一家団欒,いっかだんらん,noun,天伦之乐,音,漢語（多く音読み）と推定
804,一計を案ずる,いっけいをあんずる,expr,想一计,訓/混合,okuriganaあり → 和語/混合の可能性高
805,一挙手一投足,いっきょしゅいっとうそく,noun,一举一动,音,漢語（多く音読み）と推定
806,逸脱率,いつだつりつ,noun,越轨率,音,漢語（多く音読み）と推定
807,引用元,いんようもと,noun,出处,音,漢語（多く音読み）と推定
808,右派勢力,うはせいりょく,noun,右翼势力,音,漢語（多く音読み）と推定
809,有機農業,ゆうきのうぎょう,noun,有机农业,音,漢語（多く音読み）と推定
810,優越的地位,ゆうえつてきちい,noun,优势地位,音,漢語（多く音読み）と推定
811,余分,よぶん,na-adj,多余,音,漢語（多く音読み）と推定
812,予見可能,よけんかのう,na-adj,可预见,音,漢語（多く音読み）と推定
813,抑止政策,よくしせいさく,noun,威慑政策,音,漢語（多く音読み）と推定
814,落下傘,らっかさん,noun,降落伞,音,漢語（多く音読み）と推定
815,濫発,らんぱつ,verb-noun,滥发,音,漢語（多く音読み）と推定
816,履修要件,りしゅうようけん,noun,修读要求,音,漢語（多く音読み）と推定
817,利益相反関係,りえきそうはんかんけい,noun,利益冲突关系,音,漢語（多く音読み）と推定
818,良質化,りょうしつか,verb-noun,高质量化,音,漢語（多く音読み）と推定
819,臨場感,りんじょうかん,noun,临场感,音,漢語（多く音読み）と推定
820,類推能力,るいすいのうりょく,noun,类推能力,音,漢語（多く音読み）と推定
821,零落貴族,れいらくきぞく,noun,没落贵族,音,漢語（多く音読み）と推定
822,労役刑,ろうえきけい,noun,劳役刑,音,漢語（多く音読み）と推定
823,労使紛争,ろうしふんそう,noun,劳资纠纷,音,漢語（多く音読み）と推定
824,老齢化,ろうれいか,noun,老龄化,音,漢語（多く音読み）と推定
825,浪曲師,ろうきょくし,noun,浪曲师,音,漢語（多く音読み）と推定
826,論理性,ろんりせい,noun,逻辑性,音,漢語（多く音読み）と推定
827,和解案,わかいあん,noun,和解方案,音,漢語（多く音読み）と推定
828,腕相,わんそう,noun,腕相,音,漢語（多く音読み）と推定
829,暗礁,あんしょう,noun,暗礁,音,漢語（多く音読み）と推定
830,算法論,さんぽうろん,noun,算法论,音,漢語（多く音読み）と推定
831,違約金,いやくきん,noun,违约金,音,漢語（多く音読み）と推定
832,一挙公開,いっきょこうかい,noun,一次性公开,音,漢語（多く音読み）と推定
833,一元管理,いちげんかんり,noun,一元管理,音,漢語（多く音読み）と推定
834,逸話集,いつわしゅう,noun,轶事集,音,漢語（多く音読み）と推定
835,引用情報,いんようじょうほう,noun,引用信息,音,漢語（多く音読み）と推定
836,右斜め,みぎななめ,na-adj,右斜,訓/混合,okuriganaあり → 和語/混合の可能性高
837,有形固定資産,ゆうけいこていしさん,noun,有形固定资产,音,漢語（多く音読み）と推定
838,優遇措置,ゆうぐうそち,noun,优惠措施,音,漢語（多く音読み）と推定
839,余裕資金,よゆうしきん,noun,富余资金,音,漢語（多く音読み）と推定
840,予備役,よびえき,noun,预备役,音,漢語（多く音読み）と推定
841,抑圧感,よくあつかん,noun,压抑感,音,漢語（多く音読み）と推定
842,落差拡大,らくさかくだい,noun,差距扩大,音,漢語（多く音読み）と推定
843,濫造品,らんぞうひん,noun,滥制品,音,漢語（多く音読み）と推定
844,履修履歴,りしゅうりれき,noun,修读履历,音,漢語（多く音読み）と推定
845,利益率,りえきりつ,noun,利润率,音,漢語（多く音読み）と推定
846,良識,りょうしき,noun,良识,音,漢語（多く音読み）と推定
847,臨界事故,りんかいじこ,noun,临界事故,音,漢語（多く音読み）と推定
848,類推統計,るいすいとうけい,noun,推断统计,音,漢語（多く音読み）と推定
849,零時,れいじ,noun,零时,音,漢語（多く音読み）と推定
850,労賃,ろうちん,noun,工钱; 劳务费,音,漢語（多く音読み）と推定
851,老舗旅館,しにせりょかん,noun,老字号旅馆,音,漢語（多く音読み）と推定
852,漏話防止,ろうわぼうし,noun,防窃听,音,漢語（多く音読み）と推定
853,浪速,なにわ,noun,浪速（大阪古称）,音,漢語（多く音読み）と推定
854,論旨明快,ろんしめいかい,na-adj,论旨明快,音,漢語（多く音読み）と推定
855,和文注釈,わぶんちゅうしゃく,noun,日文注释,音,漢語（多く音読み）と推定
856,腕白坊主,わんぱくぼうず,noun,淘气包,音,漢語（多く音読み）と推定
857,暗記,あんき,verb-noun,死记,音,漢語（多く音読み）と推定
858,算出,さんしゅつ,verb-noun,算出,音,漢語（多く音読み）と推定
859,違和,いわ,na-adj,不协调,音,漢語（多く音読み）と推定
860,一案,いちあん,noun,一案,音,漢語（多く音読み）と推定
861,一括払い,いっかつばらい,noun,一次性付款,訓/混合,okuriganaあり → 和語/混合の可能性高
862,逸早,いちはや,na-adj,尽早（口误）,音,漢語（多く音読み）と推定
863,引用先,いんようさき,noun,引用来源,音,漢語（多く音読み）と推定
864,右記参照,うきさんしょう,noun,参见右侧,音,漢語（多く音読み）と推定
865,有益性,ゆうえきせい,noun,有益性,音,漢語（多く音読み）と推定
866,優劣,ゆうれつ,noun,优劣,音,漢語（多く音読み）と推定
867,余韻,よいん,noun,余韵,音,漢語（多く音読み）と推定
868,予備知識,よびちしき,noun,预备知识,音,漢語（多く音読み）と推定
869,抑鬱,よくうつ,na-adj,抑郁,音,漢語（多く音読み）と推定
870,落差是正,らくさぜせい,noun,差距矫正,音,漢語（多く音読み）と推定
871,濫伐禁止,らんばつきんし,noun,禁止滥伐,音,漢語（多く音読み）と推定
872,履修要覧,りしゅうようらん,noun,修读指南,音,漢語（多く音読み）と推定
873,利益配分,りえきはいぶん,noun,利益分配,音,漢語（多く音読み）と推定
874,良縁,りょうえん,noun,良缘,音,漢語（多く音読み）と推定
875,臨機応変,りんきおうへん,na-adj,随机应变,音,漢語（多く音読み）と推定
876,類推検定,るいすいけんてい,noun,推断检验,音,漢語（多く音読み）と推定
877,零落ぶり,れいらくぶり,noun,衰落情状,訓/混合,okuriganaあり → 和語/混合の可能性高
878,労組幹部,ろうそかんぶ,noun,工会干部,音,漢語（多く音読み）と推定
879,労政,ろうせい,noun,劳动政策,音,漢語（多く音読み）と推定
880,老境,ろうきょう,noun,暮年,音,漢語（多く音読み）と推定
881,浪漫的,ろまんてき,na-adj,浪漫的,音,漢語（多く音読み）と推定
882,論争点,ろんそうてん,noun,争议焦点,音,漢語（多く音読み）と推定
883,和訳注,わやくちゅう,noun,译注,音,漢語（多く音読み）と推定
884,腕輪,うでわ,noun,手镯,音,漢語（多く音読み）と推定
885,暗示的,あんじてき,na-adj,暗示的,音,漢語（多く音読み）と推定
886,算盤勘定,そろばんかんじょう,noun,算盘打得精,音,漢語（多く音読み）と推定
887,違憲審査,いけんしんさ,noun,违宪审查,音,漢語（多く音読み）と推定
888,一概に,いちがいに,adv,一概地,訓/混合,okuriganaあり → 和語/混合の可能性高
889,一顧,いっこ,noun,一顾,音,漢語（多く音読み）と推定
890,逸話的,いつわてき,na-adj,轶事的,音,漢語（多く音読み）と推定
891,引用権,いんようけん,noun,引用权,音,漢語（多く音読み）と推定
892,右派的,うはてき,na-adj,右翼的,音,漢語（多く音読み）と推定
893,有機質,ゆうきしつ,noun,有机质,音,漢語（多く音読み）と推定
894,優れ物,すぐれもの,noun,好东西,訓/混合,okuriganaあり → 和語/混合の可能性高
895,余所事,よそごと,noun,旁人之事,音,漢語（多く音読み）と推定
896,予備費枠,よびひわく,noun,预备费额度,音,漢語（多く音読み）と推定
897,抑揚法,よくようほう,noun,抑扬法,音,漢語（多く音読み）と推定
898,落差縮小,らくさしゅくしょう,noun,差距缩小,音,漢語（多く音読み）と推定
899,濫造気味,らんぞうぎみ,na-adj,略显滥造,音,漢語（多く音読み）と推定
900,履修科目,りしゅうかもく,noun,修读科目,音,漢語（多く音読み）と推定
